fout,mag,phase
1e-05,1,-2.16000005026952e-07
10.00001,0.999992891701565,-0.216033307082491
20.00001,0.999971540782826,-0.432265062194663
30.00001,0.999935868913302,-0.648894735587798
40.00001,0.999885744957149,-0.866122765917152
50.00001,0.999820984088854,-1.08415137738996
60.00001,0.999741346541718,-1.30318519174874
70.00001,0.999646535975374,-1.52343185487012
80.00001,0.999536197444294,-1.74510268190644
90.00001,0.999409914944633,-1.96841332508572
100.00001,0.999267208511779,-2.19358446851718
110.00001,0.999107530835564,-2.42084255462893
120.00001,0.998930263354107,-2.65042054719384
130.00001,0.998734711780595,-2.88255873628726
140.00001,0.998520101009876,-3.11750559096837
150.00001,0.998285569343373,-3.35551866599559
160.00001,0.998030161961336,-3.59686556948281
170.00001,0.997752823560675,-3.84182499908576
180.00001,0.99745239006434,-4.09068785508972
190.00001,0.997127579294112,-4.34375843966332
200.00001,0.996776980482496,-4.60135575256189
210.00001,0.996399042480756,-4.86381489472827
220.00001,0.995992060498594,-5.13148859256687
230.00001,0.995554161185973,-5.40474885718314
240.00001,0.995083285838639,-5.6839887946126
250.00001,0.994577171475085,-5.96962458504264
260.00001,0.994033329493367,-6.26209765129479
270.00001,0.993449021570107,-6.56187703942616
280.00001,0.992821232410066,-6.86946203727825
290.00001,0.992146638891306,-7.18538506020607
300.00001,0.991421575076417,-7.51021483712908
310.00001,0.990641992472355,-7.84455993453553
320.00001,0.989803414817549,-8.18907266123482
330.00001,0.988900886551995,-8.54445340259338
340.00001,0.987928913980106,-8.91145543983194
350.00001,0.986881397962738,-9.29089031784339
360.00001,0.985751556768286,-9.68363383407527
370.00001,0.984531837466449,-10.0906327314923
380.00001,0.983213813953889,-10.5129121907011
390.00001,0.981788069348706,-10.9515842302183
400.00001,0.980244060068388,-11.4078571398536
410.00001,0.978569958399108,-11.8830460905469
420.00001,0.976752469755455,-12.3785850850438
430.00001,0.974776620097945,-12.8960404378223
440.00001,0.972625508095625,-13.4371259999842
450.00001,0.970280015563392,-14.0037203756379
