fout,mag,phase
1.59154943091895e-06,1,-3.43774705522538e-08
1.66671065501093e-06,1,-3.60009274394226e-08
1.7454213821829e-06,1,-3.77010865832896e-08
1.82784923839182e-06,1,-3.94815229273167e-08
1.91416976576231e-06,1,-4.13460531371217e-08
2.00456679642913e-06,1,-4.3298646544947e-08
2.09923284403455e-06,1,-4.53434124274412e-08
2.19836951371412e-06,1,-4.7484765394502e-08
2.30218793144422e-06,1,-4.97272472782147e-08
2.41090919366554e-06,1,-5.20756416328201e-08
2.52476483814016e-06,1,-5.45349101236213e-08
2.64399733704497e-06,1,-5.71103451936083e-08
2.76886061335144e-06,1,-5.98073919523958e-08
2.89962058159157e-06,1,-6.2631788120629e-08
3.03655571416164e-06,1,-6.55896021966403e-08
3.17995763436974e-06,1,-6.86870935120427e-08
3.33013173749003e-06,1,-7.19308521761362e-08
3.4873978411465e-06,1,-7.53277863536891e-08
3.65209086641116e-06,1,-7.88851477093749e-08
3.82456155106725e-06,1,-8.26105059633357e-08
4.00517719655641e-06,1,-8.65118379467125e-08
4.19432245020061e-06,1,-9.05973622128022e-08
4.39240012436466e-06,1,-9.48758443703069e-08
4.59983205430377e-06,1,-9.93563553611782e-08
4.81705999652317e-06,1,-1.04048500460554e-07
5.04454656956296e-06,1,-1.08962190276822e-07
5.28277623921162e-06,1,-1.14107958807087e-07
5.53225635024651e-06,1,-1.19496734437234e-07
5.7935182068984e-06,1,-1.25139979886336e-07
6.06711820434127e-06,1,-1.31049743095526e-07
6.35363901361687e-06,1,-1.37238593616905e-07
6.6536908225175e-06,1,-1.43719698946854e-07
6.96791263506982e-06,1,-1.50506900859348e-07
7.29697363238702e-06,1,-1.57614613628202e-07
7.6415745977874e-06,1,-1.65058014860356e-07
8.00244940921455e-06,1,-1.72852905551468e-07
8.38036660213729e-06,1,-1.81015900919194e-07
8.77613100625793e-06,1,-1.89564417680969e-07
9.19058545951425e-06,1,-1.98516635887353e-07
9.6246126030257e-06,1,-2.07891626144217e-07
1.00791367608062e-05,1,-2.17709362334958e-07
1.05551259082468e-05,1,-2.27990708898289e-07
1.10535937335601e-05,1,-2.3875761166151e-07
1.15756017965771e-05,1,-2.50033008784985e-07
1.21222617894933e-05,1,-2.61840856206575e-07
1.26947379043795e-05,1,-2.74206343919356e-07
1.32942493124977e-05,1,-2.87155781471653e-07
1.39220727607046e-05,1,-3.00716763355884e-07
1.45795452904695e-05,1,-3.14918169008556e-07
1.52680670852989e-05,1,-3.2979023914358e-07
1.59891044526315e-05,1,-3.45364664807802e-07
1.67441929465531e-05,1,-3.61674561936566e-07
1.75349406379826e-05,1,-3.78754700353649e-07
1.83630315392938e-05,1,-3.96641465604607e-07
1.92302291906643e-05,1,-4.15372948012306e-07
2.01383804157915e-05,1,-4.34989019010232e-07
2.10894192549728e-05,1,-4.55531445642463e-07
2.20853710839257e-05,1,-4.77044005063633e-07
2.31283569271207e-05,1,-4.99572497261157e-07
2.42205979748114e-05,1,-5.23164897721849e-07
2.53644203133833e-05,1,-5.47871484654114e-07
2.65622598790929e-05,1,-5.73744813543508e-07
2.78166676457491e-05,1,-6.00840022485989e-07
2.9130315057383e-05,1,-6.29214806743479e-07
